City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,talnakh,69.4865,88.3972,287.75,54,0,4.28,RU,1720385386
155,neiafu,-18.65,-173.9833,296.53,68,75,4.63,TO,1720385387
156,tiksi,71.6872,128.8694,278.42,72,0,2.5,RU,1720385390
157,el fasher,13.6279,25.3494,303.83,37,33,4.75,SD,1720385391
158,callao,-12.0667,-77.15,296.88,77,100,3.6,PE,1720385392
159,ban houakhoua,20.2453,100.4547,296.11,98,63,0.54,LA,1720385393
160,dalandzadgad,43.5708,104.425,297.89,27,100,2.03,MN,1720385394
161,commerce,34.0006,-118.1598,306.79,56,0,4.12,US,1720385396
162,kihangara,-2.5833,33.35,295.27,75,89,2.82,TZ,1720385397
163,chincha alta,-13.4099,-76.1323,292.48,76,88,2.38,PE,1720385398
164,yamada,39.4667,141.95,294.76,88,100,4.02,JP,1720385399
165,gizo,-8.103,156.8419,300.2,83,95,8.2,SB,1720385402
166,laramie,41.3114,-105.5911,293.2,36,78,0.89,US,1720385403
167,andergrove,-21.0833,149.1833,292.4,85,23,4.05,AU,1720385404
168,cabagan,17.4333,121.75,295.83,87,55,2.55,PH,1720385405
169,tazacorte,28.629,-17.9293,294.69,88,75,5.66,ES,1720385406
170,georgetown,5.4112,100.3354,300.12,69,20,1.03,MY,1720385407
171,bredasdorp,-34.5322,20.0403,281.92,78,100,11.78,ZA,1720385409
172,zonguldak,41.25,31.8333,290.82,73,0,1.14,TR,1720385410
173,taoudenni,22.6783,-3.9836,315.33,8,23,3.82,ML,1720385411
174,nouadhibou,20.931,-17.0347,294.14,78,3,7.2,MR,1720385412
175,eyl,7.9803,49.8164,298.29,78,5,8.51,SO,1720385413
176,rehoboth,-23.3167,17.0833,279.13,64,0,2.26,NA,1720385414
177,cill airne,52.05,-9.5167,282.91,90,32,1.2,IE,1720385415
178,muisne,0.6,-80.0333,298.58,86,100,4.25,EC,1720385417
179,hobyo,5.3505,48.5268,298.14,78,12,11.6,SO,1720385418
180,port alfred,-33.5906,26.891,288.25,44,13,4.92,ZA,1720385419
181,geraldton,-28.7667,114.6,285.38,94,100,3.6,AU,1720385420
182,hasaki,35.7333,140.8333,299.37,90,84,3.24,JP,1720385421
183,wailua homesteads,22.0669,-159.378,299.74,70,100,6.69,US,1720385422
184,el calafate,-50.3408,-72.2768,273.32,80,98,0.91,AR,1720385424
185,klaksvik,62.2266,-6.589,281.66,81,100,4.25,FO,1720385425
186,happy valley-goose bay,53.3168,-60.3315,299.32,36,75,4.63,CA,1720385426
187,fortuna,40.5982,-124.1573,295.66,73,0,6.69,US,1720385427
188,punta arenas,-53.15,-70.9167,276.21,87,75,11.32,CL,1720385279
189,vilyuysk,63.7553,121.6247,290.53,68,100,1.95,RU,1720385429
190,mumford,5.2618,-0.759,297.56,91,78,5.55,GH,1720385431
191,velez rubio,37.6484,-2.0769,294.08,83,38,1.7,ES,1720385432
192,saipan,15.1355,145.701,300.54,74,20,2.06,MP,1720385433
193,tralee,52.2704,-9.7026,282.89,88,8,0.78,IE,1720385434
194,yellowknife,62.456,-114.3525,296.16,58,40,6.17,CA,1720385435
195,adrar,20.5022,-10.0711,309.2,18,49,0.35,MR,1720385436
196,altamira,-3.2033,-52.2064,305.2,51,20,4.12,BR,1720385438
